;train_size;loss_knowledge;acc_knowledge;loss_vanilla;acc_vanilla
0;500;0.2702185099323591;0.9030910650889079;0.2714604174097379;0.9015037635962169
1;1000;0.21605087021986644;0.9379281520843505;0.22127705266078312;0.9368003308773041
2;1500;0.21993112216393154;0.9395572225252787;0.22815996011098225;0.936549711227417
3;2000;0.2153823455174764;0.9498329182465871;0.21689915458361309;0.9472013394037883
